
Date: 8/14/2018 4:17:46 PM
Name: 
Description: 
Module Type: SM125
Mux Level: No Switch
HW Acquisition Rate: 1 Hz
Wavelength Tracking: 400 pm / acquistion
Normalized: True

IP Address: 10.2.117.165
      Port: 50000

IDN: sm125 0.8
Image ID: 0.0
S/N: SIA38D

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50.00 dB
	Rel. Thresh.: -8.00 dB
	Width Level: 3.00 dB
	Width: 0.10 nm
	Detect Valley: False

CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50.00 dB
	Rel. Thresh.: -8.00 dB
	Width Level: 3.00 dB
	Width: 0.10 nm
	Detect Valley: False

CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50.00 dB
	Rel. Thresh.: -8.00 dB
	Width Level: 3.00 dB
	Width: 0.10 nm
	Detect Valley: False

CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50.00 dB
	Rel. Thresh.: -8.00 dB
	Width Level: 3.00 dB
	Width: 0.10 nm
	Detect Valley: False

Wavelength Start (nm): 1510.0000
Wavelength Delta (nm): 0.0050

Wvl (nm)	 CH 1 	 CH 2 	 CH 3 	 CH 4 
1523.9050	-59.5300	-50.6100	-57.8400	-48.1800
1523.9100	-59.5700	-50.5800	-57.7800	-48.2400
1523.9150	-59.5700	-50.5400	-57.8100	-48.3500
1523.9200	-59.6000	-50.5500	-57.9000	-48.4500
1523.9250	-59.6500	-50.6100	-57.9700	-48.3600
1523.9300	-59.6300	-50.5600	-57.9600	-48.4700
1523.9350	-59.6200	-50.5700	-57.8800	-48.5400
1523.9400	-59.7200	-50.6000	-57.8800	-48.5200
1523.9450	-59.8200	-50.6300	-57.8900	-48.4200
1523.9500	-59.8500	-50.6400	-57.7500	-48.3100
1523.9550	-59.8700	-50.5000	-57.5500	-48.3800
1523.9600	-59.9500	-50.5700	-57.7400	-48.3900
1523.9650	-60.0400	-50.6500	-57.9200	-48.3200
1523.9700	-60.0300	-50.6700	-57.9000	-48.2300
1523.9750	-59.8800	-50.6000	-57.9000	-48.1500
1523.9800	-60.0300	-50.7100	-57.9300	-48.0000
1523.9850	-59.9400	-50.6900	-57.9500	-47.9500
1523.9900	-59.8300	-50.5600	-57.8800	-47.9500
1523.9950	-59.7700	-50.4400	-57.7500	-47.9200
1524.0000	-59.7400	-50.6000	-58.0500	-47.9400
1524.0050	-59.6800	-50.6900	-58.1100	-47.8700
1524.0100	-59.6700	-50.7100	-58.1200	-47.8400
1524.0150	-59.6000	-50.6600	-58.0500	-47.8900
1524.0200	-59.4600	-50.5700	-57.8700	-47.9700
1524.0250	-59.4200	-50.6100	-57.9000	-48.0800
1524.0300	-59.4100	-50.6000	-57.8300	-48.0100
1524.0350	-59.4300	-50.5400	-57.8200	-48.0300
1524.0400	-59.4600	-50.5600	-57.9600	-48.2100
1524.0450	-59.4700	-50.7600	-58.2600	-48.1400
1524.0500	-59.4600	-50.5700	-57.9200	-48.3100
1524.0550	-59.4900	-50.5800	-57.9100	-48.3700
1524.0600	-59.5300	-50.5600	-57.8600	-48.3600
1524.0650	-59.5500	-50.4800	-57.6700	-48.3900
1524.0700	-59.5400	-50.5000	-57.8500	-48.5800
1524.0750	-59.7300	-50.5500	-57.7100	-48.4000
1524.0800	-59.7600	-50.5700	-57.8300	-48.2900
1524.0850	-59.7300	-50.5700	-57.9300	-48.3000
1524.0900	-59.6700	-50.5300	-57.7400	-48.3100
1524.0950	-59.6000	-50.4400	-57.7900	-48.3900
1524.1000	-59.5200	-50.4700	-57.7800	-48.3400
1524.1050	-59.5800	-50.5100	-57.8300	-48.2000
1524.1100	-59.6800	-50.5400	-57.8900	-48.0300
1524.1150	-59.7700	-50.5400	-57.9100	-47.9100
1524.1200	-59.8200	-50.5500	-57.8100	-47.8900
1524.1250	-59.7600	-50.5100	-57.8500	-47.8800
1524.1300	-59.8000	-50.4400	-57.8200	-47.8800
1524.1350	-59.9000	-50.4300	-57.7600	-47.8700
1524.1400	-59.9800	-50.5400	-57.9700	-47.7900
1524.1450	-60.1000	-50.6300	-57.9800	-47.7900
1524.1500	-60.0100	-50.5400	-57.9600	-47.8300
1524.1550	-59.9300	-50.5300	-57.9400	-47.9100
1524.1600	-59.9100	-50.6200	-57.9600	-48.0100
1524.1650	-59.9100	-50.6600	-58.0100	-48.0900
1524.1700	-59.7400	-50.4800	-57.8200	-48.0300
1524.1750	-59.7200	-50.4600	-57.8500	-48.0000
1524.1800	-59.6900	-50.5500	-57.9900	-48.0800
1524.1850	-59.6000	-50.6600	-58.0500	-48.3100
1524.1900	-59.4500	-50.6200	-57.9900	-48.4100
1524.1950	-59.3500	-50.5500	-57.9400	-48.4700
1524.2000	-59.2900	-50.5300	-57.8900	-48.5300
1524.2050	-59.2700	-50.5200	-57.8500	-48.5800
1524.2100	-59.2800	-50.4900	-57.8800	-48.5800
1524.2150	-59.3100	-50.5100	-57.7700	-48.4700
1524.2200	-59.3100	-50.4800	-57.8100	-48.3900
1524.2250	-59.4100	-50.5200	-57.9400	-48.3600
1524.2300	-59.5000	-50.5800	-58.0500	-48.3700
1524.2350	-59.4700	-50.5800	-57.9600	-48.2900
1524.2400	-59.5100	-50.5600	-57.8600	-48.2800
1524.2450	-59.5200	-50.5700	-57.9300	-48.1700
1524.2500	-59.5500	-50.5600	-57.9800	-48.0500
1524.2550	-59.6100	-50.5200	-57.9300	-48.0800
1524.2600	-59.7000	-50.5300	-58.0400	-48.0900
1524.2650	-59.7200	-50.7100	-58.0500	-48.0300
1524.2700	-59.7400	-50.5600	-57.8900	-48.0100
1524.2750	-59.7200	-50.4400	-57.7200	-48.0300
1524.2800	-59.7100	-50.5500	-57.7600	-48.0200
1524.2850	-59.8000	-50.5300	-58.0100	-48.1600
1524.2900	-59.8600	-50.5900	-58.0300	-48.1100
1524.2950	-59.8900	-50.5300	-58.0000	-47.9900
1524.3000	-59.8600	-50.4800	-57.9700	-47.9600
1524.3050	-59.7700	-50.5600	-57.9700	-48.2500
1524.3100	-59.7200	-50.4200	-57.8500	-48.2600
1524.3150	-59.8000	-50.4900	-57.8400	-48.3000
1524.3200	-59.8100	-50.6100	-57.9400	-48.3900
1524.3250	-59.7900	-50.7000	-58.0700	-48.4900
1524.3300	-59.8000	-50.6700	-57.9600	-48.4800
1524.3350	-59.7600	-50.5400	-57.8900	-48.4900
1524.3400	-59.7000	-50.5600	-57.9400	-48.5400
1524.3450	-59.6200	-50.5300	-57.9600	-48.5700
1524.3500	-59.5300	-50.4100	-57.8500	-48.5000
1524.3550	-59.4400	-50.4100	-57.8400	-48.4400
1524.3600	-59.4800	-50.5200	-57.9400	-48.4600
1524.3650	-59.4300	-50.5600	-57.8900	-48.4400
1524.3700	-59.4100	-50.5900	-57.8500	-48.3500
1524.3750	-59.4600	-50.6300	-58.0100	-48.2300
1524.3800	-59.5900	-50.7200	-58.0600	-48.1500
1524.3850	-59.2900	-50.5900	-58.0200	-48.2500
1524.3900	-59.3700	-50.5600	-57.9900	-48.2000
1524.3950	-59.5200	-50.6100	-58.0000	-47.9400
1524.4000	-59.5000	-50.6400	-58.0600	-47.9300
1524.4050	-59.4500	-50.4300	-57.9000	-48.0600
1524.4100	-59.5200	-50.4800	-57.9400	-48.0400
1524.4150	-59.6200	-50.5800	-57.9600	-47.9800
1524.4200	-59.6700	-50.6100	-57.8700	-48.0200
1524.4250	-59.6500	-50.5100	-57.8400	-48.0400
1524.4300	-59.9000	-50.5900	-57.8200	-48.0000
1524.4350	-60.0100	-50.6400	-57.9500	-48.0100
1524.4400	-59.9400	-50.5900	-58.0300	-48.0800
1524.4450	-59.7700	-50.4500	-57.9100	-48.2200
1524.4500	-59.7200	-50.4300	-57.9800	-48.4700
1524.4550	-59.7300	-50.5700	-58.0000	-48.4700
1524.4600	-59.7800	-50.5500	-58.0600	-48.4700
1524.4650	-59.8400	-50.5200	-58.1100	-48.5200
1524.4700	-59.9000	-50.5500	-58.0800	-48.4400
1524.4750	-59.9100	-50.4300	-57.9100	-48.6300
1524.4800	-60.0200	-50.6100	-58.0600	-48.5700
1524.4850	-60.0100	-50.7100	-58.1700	-48.5100
1524.4900	-59.9400	-50.7500	-58.1600	-48.5900
1524.4950	-59.8900	-50.8100	-58.1900	-48.5200
1524.5000	-59.7800	-50.6400	-57.9300	-48.4700
1524.5050	-59.6900	-50.4900	-57.9000	-48.4100
1524.5100	-59.6400	-50.4600	-57.9700	-48.3100
1524.5150	-59.6000	-50.5300	-58.0200	-48.1600
1524.5200	-59.5000	-50.6200	-58.0200	-48.2100
1524.5250	-59.4000	-50.5500	-57.7700	-48.1200
1524.5300	-59.2800	-50.5100	-57.7200	-48.1200
1524.5350	-59.2400	-50.5200	-57.8200	-48.1800
1524.5400	-59.2600	-50.5600	-57.9400	-48.0900
1524.5450	-59.2700	-50.5300	-57.9800	-48.0600
1524.5500	-59.2900	-50.5100	-58.0400	-48.0100
1524.5550	-59.3900	-50.6200	-58.0900	-47.9800
1524.5600	-59.4400	-50.7000	-58.1200	-48.0200
1524.5650	-59.4200	-50.6100	-58.1300	-48.1300
1524.5700	-59.5400	-50.6500	-58.0000	-48.0700
1524.5750	-59.5400	-50.5500	-58.0000	-48.1600
1524.5800	-59.6000	-50.5200	-58.0600	-48.2200
1524.5850	-59.7200	-50.5900	-58.1000	-48.1800
1524.5900	-59.8700	-50.6900	-58.0900	-48.4300
1524.5950	-59.9300	-50.5800	-58.0200	-48.3600
1524.6000	-59.8600	-50.5900	-58.0500	-48.4700
1524.6050	-59.7900	-50.5500	-58.0200	-48.5900
1524.6100	-59.7700	-50.4700	-57.8900	-48.4200
1524.6150	-59.8400	-50.5100	-57.9500	-48.5900
1524.6200	-59.9200	-50.5700	-57.9500	-48.4700
1524.6250	-59.9900	-50.6400	-58.0300	-48.3700
1524.6300	-59.9500	-50.6600	-58.1300	-48.3500
1524.6350	-59.8000	-50.6400	-58.1400	-48.2900
1524.6400	-59.6800	-50.7200	-58.0700	-48.5300
1524.6450	-59.6200	-50.6500	-58.0600	-48.4300
1524.6500	-59.6300	-50.6200	-58.0400	-48.3000
1524.6550	-59.6700	-50.6300	-58.0000	-48.2700
1524.6600	-59.6700	-50.6200	-58.0300	-48.0600
1524.6650	-59.4900	-50.4900	-57.9200	-48.1300
1524.6700	-59.6200	-50.5900	-58.0400	-48.1300
1524.6750	-59.5900	-50.6600	-58.0900	-48.1100
1524.6800	-59.5100	-50.6500	-57.9800	-48.1200
1524.6850	-59.5300	-50.6200	-57.9300	-48.0700
1524.6900	-59.5400	-50.6700	-57.9800	-48.0200
1524.6950	-59.5200	-50.6600	-58.0100	-48.0500
1524.7000	-59.4800	-50.6200	-58.0100	-48.0900
1524.7050	-59.4600	-50.5800	-58.0000	-48.0000
1524.7100	-59.5300	-50.5700	-57.8800	-48.1200
1524.7150	-59.4800	-50.6700	-58.1000	-48.2000
1524.7200	-59.4200	-50.6100	-58.0400	-48.2800
1524.7250	-59.3700	-50.5500	-57.8800	-48.3600
1524.7300	-59.3800	-50.6000	-57.9100	-48.4000
1524.7350	-59.5100	-50.5700	-57.8300	-48.4600
1524.7400	-59.5700	-50.6100	-57.9300	-48.4900
1524.7450	-59.6600	-50.6200	-58.0300	-48.5200
1524.7500	-59.7900	-50.6100	-58.0600	-48.5300
1524.7550	-59.9000	-50.6000	-58.0000	-48.4000
1524.7600	-59.8400	-50.5600	-57.9300	-48.5300
1524.7650	-59.9300	-50.6900	-58.0400	-48.6500
1524.7700	-59.9500	-50.6900	-58.0800	-48.6200
1524.7750	-59.9700	-50.5800	-57.9700	-48.4100
1524.7800	-60.0400	-50.6000	-58.0200	-48.3500
1524.7850	-59.9300	-50.5300	-57.8900	-48.3300
1524.7900	-59.8500	-50.5400	-57.9200	-48.3800
1524.7950	-59.8300	-50.6100	-58.0000	-48.3700
1524.8000	-59.8400	-50.7000	-58.0100	-48.1100
1524.8050	-59.8200	-50.7400	-57.9900	-48.1300
1524.8100	-59.7700	-50.6200	-58.0200	-48.0800
1524.8150	-59.7300	-50.6400	-58.0000	-48.0800
1524.8200	-59.6400	-50.6600	-57.9800	-48.1000
1524.8250	-59.5500	-50.6000	-58.0100	-48.0700
1524.8300	-59.6300	-50.5900	-57.8400	-48.0100
1524.8350	-59.4700	-50.6500	-57.9300	-48.1700
1524.8400	-59.4600	-50.5800	-57.9500	-48.2300
1524.8450	-59.4900	-50.4900	-57.8900	-48.1000
1524.8500	-59.4800	-50.5600	-57.9800	-48.2000
1524.8550	-59.4300	-50.5600	-57.9300	-48.2600
1524.8600	-59.5400	-50.7300	-58.0800	-48.3000
1524.8650	-59.5200	-50.7900	-58.1300	-48.3400
1524.8700	-59.4700	-50.7500	-58.0000	-48.4000
1524.8750	-59.5300	-50.7800	-58.0500	-48.5000
1524.8800	-59.4800	-50.6700	-57.9500	-48.5500
1524.8850	-59.4500	-50.6500	-57.9400	-48.6300
1524.8900	-59.4700	-50.6500	-57.9800	-48.6800
1524.8950	-59.5100	-50.6600	-58.0100	-48.5500
1524.9000	-59.4800	-50.6900	-58.0500	-48.5400
1524.9050	-59.6100	-50.7400	-58.0700	-48.4400
1524.9100	-59.6500	-50.7000	-57.9500	-48.4500
1524.9150	-59.6500	-50.6000	-57.8000	-48.5400
1524.9200	-59.6600	-50.5300	-57.8200	-48.4900
1524.9250	-59.7500	-50.5900	-58.0200	-48.3700
1524.9300	-59.9000	-50.5300	-58.0500	-48.2400
1524.9350	-59.9500	-50.5800	-58.0100	-48.1600
1524.9400	-59.9000	-50.5700	-57.9300	-48.1800
1524.9450	-59.8100	-50.3200	-57.8000	-48.2900
1524.9500	-59.8700	-50.6600	-57.9000	-48.1000
1524.9550	-59.8800	-50.6600	-57.9600	-48.0400
1524.9600	-59.8300	-50.6200	-57.9600	-48.0200
1524.9650	-59.8000	-50.6100	-57.9400	-47.9200
1524.9700	-59.8100	-50.6200	-57.9800	-48.0900
1524.9750	-59.7100	-50.6000	-57.9200	-48.0000
1524.9800	-59.7700	-50.7300	-57.9800	-48.0300
1524.9850	-59.6900	-50.8000	-58.0400	-48.1600
1524.9900	-59.5400	-50.7500	-58.0000	-48.2500
1524.9950	-59.5300	-50.7300	-57.9200	-48.1200
1525.0000	-59.6200	-50.6300	-57.9200	-48.2800
1525.0050	-59.4000	-50.5500	-57.9400	-48.5100
1525.0100	-59.3100	-50.5100	-57.9400	-48.6200
1525.0150	-59.4000	-50.5500	-57.9100	-48.4200
1525.0200	-59.3600	-50.5900	-58.0100	-48.5700
1525.0250	-59.3900	-50.6200	-57.9700	-48.6400
1525.0300	-59.4100	-50.6800	-57.9300	-48.6700
1525.0350	-59.3800	-50.6900	-57.9100	-48.6900
1525.0400	-59.2900	-50.5600	-57.8500	-48.7100
1525.0450	-59.2900	-50.5700	-57.7700	-48.5900
1525.0500	-59.2800	-50.5900	-57.8800	-48.5400
1525.0550	-59.3800	-50.5900	-57.9400	-48.4000
1525.0600	-59.4500	-50.5800	-57.9000	-48.0900
1525.0650	-59.3600	-50.5500	-58.0000	-48.2400
1525.0700	-59.3500	-50.6100	-57.9900	-48.2200
1525.0750	-59.3400	-50.5600	-57.8600	-48.1900
1525.0800	-59.4300	-50.5000	-57.7600	-48.0500
1525.0850	-59.5800	-50.5100	-57.7800	-47.7300
1525.0900	-59.6800	-50.6900	-57.9300	-47.9100
1525.0950	-59.7000	-50.6000	-57.9200	-47.9900
1525.1000	-59.7700	-50.6500	-57.8300	-47.9400
1525.1050	-59.8600	-50.7000	-57.8100	-47.8600
1525.1100	-59.9300	-50.6500	-57.9700	-47.9100
1525.1150	-59.8000	-50.6200	-58.0100	-48.1800
1525.1200	-59.9300	-50.6000	-57.9900	-48.1800
1525.1250	-59.9400	-50.6600	-57.9500	-48.1900
1525.1300	-59.8900	-50.6600	-57.8900	-48.3100
1525.1350	-59.8300	-50.4900	-57.7400	-48.3500
1525.1400	-59.6600	-50.5400	-57.8700	-48.4800
1525.1450	-59.6900	-50.6300	-57.8400	-48.5000
1525.1500	-59.5000	-50.6600	-57.8400	-48.5400
1525.1550	-59.3100	-50.6400	-57.8700	-48.6800
1525.1600	-59.2800	-50.6100	-57.7600	-48.6000
1525.1650	-59.1400	-50.5900	-57.8400	-48.5800
1525.1700	-59.1200	-50.5600	-57.6800	-48.5300
1525.1750	-59.1400	-50.5300	-57.6400	-48.5000
1525.1800	-59.1600	-50.5300	-57.8700	-48.5400
1525.1850	-59.1000	-50.6600	-57.9400	-48.3900
1525.1900	-59.1000	-50.7100	-57.9700	-48.3000
1525.1950	-59.0000	-50.6900	-57.8900	-48.2600
1525.2000	-59.0100	-50.7100	-57.8600	-48.2300
1525.2050	-59.0900	-50.7800	-57.9600	-48.0900
1525.2100	-58.9700	-50.6600	-57.8500	-48.0000
1525.2150	-59.0800	-50.6400	-57.8400	-47.9600
1525.2200	-59.1000	-50.5300	-57.8000	-47.8600
1525.2250	-59.0500	-50.5000	-57.8100	-47.7800
1525.2300	-58.9900	-50.6700	-57.9800	-48.0100
1525.2350	-59.0100	-50.7600	-57.9200	-47.9300
1525.2400	-58.9200	-50.7500	-57.9300	-47.9400
1525.2450	-58.8100	-50.6700	-57.8700	-48.0000
1525.2500	-58.6900	-50.6100	-57.7500	-48.0800
1525.2550	-58.5400	-50.6700	-57.7600	-48.1700
1525.2600	-58.2200	-50.6400	-57.8800	-48.2600
1525.2650	-57.9600	-50.6300	-57.8200	-48.3300
1525.2700	-57.6300	-50.6100	-57.7500	-48.3800
1525.2750	-57.0700	-50.5800	-57.7100	-48.4100
1525.2800	-56.1200	-50.5000	-57.5200	-48.4700
1525.2850	-54.9400	-50.5300	-57.6600	-48.4500
1525.2900	-54.1000	-50.4900	-57.6900	-48.4500
1525.2950	-53.3300	-50.4700	-57.6700	-48.4900
1525.3000	-52.6700	-50.5100	-57.7500	-48.5800
1525.3050	-52.3400	-50.6400	-57.9100	-48.4200
1525.3100	-52.4300	-50.6500	-57.8200	-48.4300
1525.3150	-52.9100	-50.6600	-57.7700	-48.4000
1525.3200	-53.5500	-50.5700	-57.7400	-48.2800
1525.3250	-54.2400	-50.3900	-57.6300	-48.2700
1525.3300	-55.0200	-50.4500	-57.7300	-48.0600
1525.3350	-55.9900	-50.6300	-57.8300	-47.9600
1525.3400	-56.5200	-50.6600	-57.9100	-47.9500
1525.3450	-56.8600	-50.6300	-57.9100	-48.0000
1525.3500	-57.2300	-50.6600	-57.7700	-47.9400
1525.3550	-57.5900	-50.5900	-57.9000	-48.0200
1525.3600	-57.9000	-50.7500	-57.9900	-48.0100
1525.3650	-58.0700	-50.6700	-57.9300	-47.9800
1525.3700	-58.2000	-50.4600	-57.7700	-48.0000
1525.3750	-58.4100	-50.5800	-57.8500	-47.9600
1525.3800	-58.6000	-50.5600	-57.9100	-48.0800
1525.3850	-58.5900	-50.4300	-57.7800	-48.0800
1525.3900	-58.7000	-50.4200	-57.7100	-48.0200
1525.3950	-58.8900	-50.5300	-57.8600	-48.0800
1525.4000	-59.0000	-50.4700	-57.9500	-48.1400
1525.4050	-58.9400	-50.4800	-57.8000	-48.3700
1525.4100	-59.0300	-50.4700	-57.7300	-48.4500
1525.4150	-59.2400	-50.5400	-57.8000	-48.3900
1525.4200	-59.4200	-50.7000	-57.9700	-48.3800
1525.4250	-59.3700	-50.6900	-57.9100	-48.4200
1525.4300	-59.4100	-50.7200	-57.8700	-48.4800
1525.4350	-59.4200	-50.6200	-57.7900	-48.5400
1525.4400	-59.4500	-50.5500	-57.7400	-48.5400
1525.4450	-59.5200	-50.6500	-57.8800	-48.4100
1525.4500	-59.6700	-50.6300	-57.9000	-48.2500
1525.4550	-59.6500	-50.5800	-57.9100	-48.1700
1525.4600	-59.6600	-50.5900	-57.8800	-48.1600
1525.4650	-59.6200	-50.5900	-57.8300	-48.1900
1525.4700	-59.4500	-50.4400	-57.7200	-48.1500
1525.4750	-59.4900	-50.6100	-57.7800	-47.9800
1525.4800	-59.3800	-50.5400	-57.8400	-47.9100
1525.4850	-59.3500	-50.4800	-57.8100	-47.9100
1525.4900	-59.3200	-50.5400	-57.7200	-47.8700
1525.4950	-59.1300	-50.6700	-57.8500	-47.9500
1525.5000	-59.0600	-50.6700	-57.7500	-47.9800
1525.5050	-58.9900	-50.5800	-57.7100	-47.9800
1525.5100	-58.9300	-50.5200	-57.7400	-47.9800
1525.5150	-58.8800	-50.5300	-57.8000	-48.0600
1525.5200	-58.8800	-50.5200	-57.8000	-48.1500
1525.5250	-58.9300	-50.5400	-57.7000	-48.1500
1525.5300	-58.9600	-50.5300	-57.6800	-48.2000
1525.5350	-58.9900	-50.5600	-57.7500	-48.3200
1525.5400	-59.0500	-50.6700	-57.8100	-48.2400
1525.5450	-59.1600	-50.4700	-57.8000	-48.3200
1525.5500	-59.2700	-50.5400	-57.8300	-48.3300
1525.5550	-59.3800	-50.5700	-57.8500	-48.3500
1525.5600	-59.4600	-50.5400	-57.8500	-48.3800
1525.5650	-59.5100	-50.5000	-57.7500	-48.2400
1525.5700	-59.5800	-50.4500	-57.7200	-48.4200
1525.5750	-59.6600	-50.5200	-57.8400	-48.3200
1525.5800	-59.6500	-50.6300	-57.9400	-48.1900
1525.5850	-59.5800	-50.6900	-57.9100	-48.3700
1525.5900	-59.5400	-50.6100	-57.8200	-48.3200
1525.5950	-59.5700	-50.5300	-57.8100	-48.2600
1525.6000	-59.5600	-50.4600	-57.8000	-48.1700
1525.6050	-59.5000	-50.4300	-57.8100	-48.1300
1525.6100	-59.4400	-50.4500	-57.8800	-48.2200
1525.6150	-59.4700	-50.3500	-57.8500	-48.0900
1525.6200	-59.4700	-50.5300	-57.7800	-48.0100
1525.6250	-59.4900	-50.5700	-57.7400	-48.0300
1525.6300	-59.5200	-50.5700	-57.7400	-48.0600
1525.6350	-59.5400	-50.6400	-57.7700	-47.8600
1525.6400	-59.5600	-50.5100	-57.7300	-47.8800
1525.6450	-59.4900	-50.4900	-57.7500	-47.9300
1525.6500	-59.4600	-50.5700	-57.8000	-47.9500
1525.6550	-59.4000	-50.6400	-57.8100	-47.9400
1525.6600	-59.2800	-50.5600	-57.6800	-48.0600
1525.6650	-59.3100	-50.5100	-57.7700	-48.0300
1525.6700	-59.1800	-50.5000	-57.8800	-48.1700
1525.6750	-59.0900	-50.5200	-57.8900	-48.2900
1525.6800	-59.0500	-50.5600	-57.7700	-48.2100
1525.6850	-59.0100	-50.5300	-57.7800	-48.2300
1525.6900	-58.9000	-50.5800	-57.9000	-48.3400
1525.6950	-59.0000	-50.5800	-57.8100	-48.3300
1525.7000	-59.1200	-50.5700	-57.7100	-48.2800
1525.7050	-59.1900	-50.5400	-57.7500	-48.3400
1525.7100	-59.1900	-50.4900	-57.8500	-48.4300
1525.7150	-59.1000	-50.3900	-57.8100	-48.4000
1525.7200	-59.2500	-50.4400	-57.7300	-48.3300
1525.7250	-59.3800	-50.4900	-57.6700	-48.2700
1525.7300	-59.4300	-50.4700	-57.6900	-48.2800
1525.7350	-59.6400	-50.6400	-57.7800	-48.1700
1525.7400	-59.6100	-50.4900	-57.6900	-48.1500
1525.7450	-59.6700	-50.4800	-57.7100	-48.1200
1525.7500	-59.7400	-50.5400	-57.8300	-48.0400
1525.7550	-59.7700	-50.4900	-57.8500	-47.9400
1525.7600	-59.8500	-50.6000	-57.9200	-47.8500
1525.7650	-59.8700	-50.5800	-57.7700	-47.8500
1525.7700	-59.7500	-50.5700	-57.6900	-47.8700
1525.7750	-59.6600	-50.5900	-57.7700	-47.8500
1525.7800	-59.7100	-50.6600	-57.8600	-47.9100
1525.7850	-59.6200	-50.7400	-57.9700	-47.9100
1525.7900	-59.5600	-50.6600	-57.9800	-48.0000
1525.7950	-59.5000	-50.5900	-57.9000	-48.0600
1525.8000	-59.4400	-50.5800	-57.7900	-47.9500
1525.8050	-59.4300	-50.5100	-57.7100	-48.0800
1525.8100	-59.3100	-50.5700	-57.7400	-48.3300
1525.8150	-59.5100	-50.6800	-57.7800	-48.3400
1525.8200	-59.5100	-50.6700	-57.7800	-48.2300
1525.8250	-59.3400	-50.5300	-57.7400	-48.3800
1525.8300	-59.3600	-50.5800	-57.9100	-48.4300
1525.8350	-59.3100	-50.6100	-57.9300	-48.4400
1525.8400	-59.2000	-50.6000	-57.8700	-48.5000
1525.8450	-59.1000	-50.5500	-57.8300	-48.5800
1525.8500	-59.0400	-50.4800	-57.8800	-48.5800
1525.8550	-59.0300	-50.5500	-57.7900	-48.4600
1525.8600	-59.0900	-50.5500	-57.7600	-48.4700
1525.8650	-59.1400	-50.5600	-57.7600	-48.4300
1525.8700	-59.1900	-50.6200	-57.7800	-48.2800
1525.8750	-59.2500	-50.7100	-57.9100	-48.2500
1525.8800	-59.3000	-50.6300	-57.8500	-48.2100
1525.8850	-59.3900	-50.6100	-57.7900	-48.0700
1525.8900	-59.4200	-50.6100	-57.8200	-47.9700
1525.8950	-59.4400	-50.5800	-57.9100	-47.9900
1525.9000	-59.4800	-50.4700	-57.8600	-47.8800
1525.9050	-59.4800	-50.4700	-57.8000	-47.9600
1525.9100	-59.5600	-50.5300	-57.8700	-47.9900
1525.9150	-59.6200	-50.5500	-57.8900	-47.9800
1525.9200	-59.6700	-50.5200	-57.7700	-47.9900
1525.9250	-59.7900	-50.5900	-57.6900	-47.9500
1525.9300	-59.5800	-50.4000	-57.6300	-48.1400
1525.9350	-59.6800	-50.5000	-57.7000	-48.1600
1525.9400	-59.7200	-50.6500	-57.8100	-48.0900
1525.9450	-59.6400	-50.6600	-57.8300	-48.3600
1525.9500	-59.5900	-50.6600	-57.8300	-48.4200
1525.9550	-59.5700	-50.5500	-57.7300	-48.4300
1525.9600	-59.4500	-50.4400	-57.6500	-48.4900
1525.9650	-59.4400	-50.4300	-57.7000	-48.5800
1525.9700	-59.5500	-50.6000	-57.9700	-48.5400
1525.9750	-59.4900	-50.7400	-57.9800	-48.5500
1525.9800	-59.4400	-50.6800	-57.9100	-48.5200
1525.9850	-59.3300	-50.6300	-57.8700	-48.4500
1525.9900	-59.2900	-50.6300	-57.8600	-48.3700
1525.9950	-59.3500	-50.6500	-57.7300	-48.4500
1526.0000	-59.2400	-50.5400	-57.7200	-48.3900
1526.0050	-59.2600	-50.5800	-57.8000	-48.3300
1526.0100	-59.2300	-50.6400	-57.8700	-48.2400
1526.0150	-59.1800	-50.6500	-57.8700	-48.1000
1526.0200	-59.1700	-50.6200	-57.7700	-48.0400
1526.0250	-59.1300	-50.5600	-57.7600	-48.0800
1526.0300	-59.1400	-50.6500	-57.7800	-48.0300
1526.0350	-59.2100	-50.6600	-57.7900	-47.9500
1526.0400	-59.2600	-50.5400	-57.7800	-48.0400
1526.0450	-59.1800	-50.4700	-57.6500	-47.9500
1526.0500	-59.3300	-50.5900	-57.7700	-48.0400
1526.0550	-59.3500	-50.5500	-57.8100	-48.1000
1526.0600	-59.4100	-50.5200	-57.8000	-48.1100
1526.0650	-59.5300	-50.6100	-57.8600	-48.1700
1526.0700	-59.5600	-50.6000	-57.7600	-48.2200
1526.0750	-59.6900	-50.4600	-57.6400	-48.3000
1526.0800	-59.7600	-50.4800	-57.6700	-48.3700
1526.0850	-59.8000	-50.5500	-57.7400	-48.4200
1526.0900	-59.8400	-50.5500	-57.5800	-48.4400
1526.0950	-59.9300	-50.7100	-57.9100	-48.5100
1526.1000	-59.8900	-50.6300	-57.7700	-48.5400
1526.1050	-59.8200	-50.5500	-57.7000	-48.5500
1526.1100	-59.7700	-50.5200	-57.8100	-48.5700
1526.1150	-59.7800	-50.5300	-57.6400	-48.3500
1526.1200	-59.7300	-50.5300	-57.7600	-48.4600
